VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
2,2019-01-01 00:27:34,2019-01-01 00:44:09,6,1.62,1,N,249,234,1,11.5,0.5,0.5,2.56,0,0.3,15.36,
2,2019-01-01 00:53:01,2019-01-01 00:59:01,6,.71,1,N,170,90,1,5.5,0.5,0.5,1.36,0,0.3,8.16,
1,2019-01-01 00:28:26,2019-01-01 00:40:47,2,2.30,1,N,231,68,2,11,0.5,0.5,0,0,0.3,12.3,
1,2019-01-01 00:43:44,2019-01-01 00:55:37,1,1.40,1,N,68,170,1,9,0.5,0.5,2.05,0,0.3,12.35,
2,2019-01-01 00:29:50,2019-01-01 00:36:25,2,.88,1,N,79,79,1,6.5,0.5,0.5,1.56,0,0.3,9.36,
2,2019-01-01 00:41:26,2019-01-01 00:54:39,1,1.58,1,N,79,232,1,10,0.5,0.5,2.26,0,0.3,13.56,
2,2019-01-01 00:55:48,2019-01-01 01:04:10,2,2.23,1,N,232,261,2,9.5,0.5,0.5,0,0,0.3,10.8,
2,2019-01-01 00:15:38,2019-01-01 00:34:49,1,5.88,1,N,164,66,1,20,0.5,0.5,6.39,0,0.3,27.69,
2,2019-01-01 00:42:40,2019-01-01 00:49:15,1,.95,1,N,65,33,1,6,0.5,0.5,1.82,0,0.3,9.12,
2,2019-01-01 00:51:19,2019-01-01 01:27:21,1,8.32,1,N,33,230,2,31,0.5,0.5,0,0,0.3,32.3,
1,2019-01-01 00:20:00,2019-01-01 00:59:21,1,14.00,1,N,161,177,2,42.5,0.5,0.5,0,5.76,0.3,49.56,
